benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,l1_coefficient
SIMPLICIAL_COMPLEX,Standard_14,0,8.0,1.77872,0,0.5839862890625,0.6265289219252476,0.4815659821033478,0.8410493827160493,0.6848872900009155,0.29014429450035095,0.3939497172832489,0.9936656951904297,Standard,0.25
SIMPLICIAL_COMPLEX,Standard_15,0,8.0,1.54424,3,0.545308125,0.5971983412523258,0.4849312901496887,0.8379629629629629,0.747338593006134,0.2805871367454529,0.3946424126625061,0.9939219355583191,Standard,0.285
SIMPLICIAL_COMPLEX,Standard_2,0,8.0,8.87516,0,0.79998765625,0.8072527217901081,0.7662491798400879,0.9876543209876543,0.4870390295982361,0.7961857318878174,0.5871562361717224,0.9911319017410278,Standard,0.065
SIMPLICIAL_COMPLEX,Standard_3,0,8.0,7.48206,0,0.78409984375,0.7957321008925351,0.7430232763290405,0.9891975308641975,0.5387893915176392,0.7520627975463867,0.6096641421318054,0.9925704002380371,Standard,0.075
SIMPLICIAL_COMPLEX,Standard_4,0,8.0,6.54692,0,0.76877671875,0.7851904275232706,0.7366544604301453,0.9830246913580247,0.588671863079071,0.7210198044776917,0.6313162446022034,0.9935609698295593,Standard,0.085
SIMPLICIAL_COMPLEX,Standard_5,0,8.0,5.88811,0,0.75346328125,0.7728403619708004,0.7141759991645813,0.9737654320987654,0.604407548904419,0.6755329370498657,0.6227588057518005,0.9938667416572571,Standard,0.095
SIMPLICIAL_COMPLEX,Standard_6,0,8.0,5.3717,0,0.7394453125,0.7620511115056621,0.6864039897918701,0.9583333333333334,0.6066332459449768,0.6281036734580994,0.6029964685440063,0.9938656687736511,Standard,0.105
SIMPLICIAL_COMPLEX,Standard_7,0,8.0,4.91154,0,0.72621890625,0.7494546498548853,0.6456872224807739,0.933641975308642,0.5858920216560364,0.5670089721679688,0.5633935928344727,0.9936167597770691,Standard,0.115
SIMPLICIAL_COMPLEX,Standard_8,0,8.0,4.24646,0,0.70766609375,0.7309266070219286,0.5847874283790588,0.9012345679012346,0.5505803227424622,0.4777820110321045,0.5013682246208191,0.9932030439376831,Standard,0.13
SIMPLICIAL_COMPLEX,Standard_9,0,8.0,3.55497,0,0.6932846875,0.7115587276220205,0.5025647282600403,0.8533950617283951,0.4802338778972626,0.3770516812801361,0.411336213350296,0.9924842119216919,Standard,0.145
SPARSE_UNIFORM,Standard_0,0,8.02749,17.19522,0,0.6677246289109386,0.6710776831800216,0.7677061557769775,0.6820987654320988,0.6600674390792847,0.7403156757354736,0.6376873254776001,0.9784148335456848,Standard,0.3
SPARSE_UNIFORM,Standard_1,0,8.03309,14.9535,0,0.6360595627431566,0.638297055534359,0.7357038259506226,0.6435185185185185,0.7545095086097717,0.6965281367301941,0.6717686653137207,0.9784348011016846,Standard,0.35
SPARSE_UNIFORM,Standard_10,0,8.03029,3.03517,0,0.38306936365955147,0.37226173163473053,0.8332553505897522,0.7824074074074074,0.9801385998725891,0.49670347571372986,0.6447499394416809,0.9938408136367798,Standard,0.95
SPARSE_UNIFORM,Standard_11,0,8.04563,2.51841,0,0.33541688806511305,0.297446232165413,0.856151819229126,0.8179012345679012,0.9873065948486328,0.4587745666503906,0.6144459843635559,0.9937922954559326,Standard,1.1
SPARSE_UNIFORM,Standard_12,0,8.0255,1.93299,18,0.2976022030763922,0.2113857346110981,0.8330543637275696,0.7962962962962963,0.9632623195648193,0.3625244200229645,0.5143390893936157,0.9931874871253967,Standard,1.3
